scenario,algorithm,trial,found,time_s,expanded,visited,frontier_peak,path_len,total_cost,b_star
S1,Dijkstra,19,True,0.0039568370002598385,1815,1815,112,37,37.0,1.1613089984131233
S1,Dijkstra,20,True,0.0065494559999024204,3730,3730,89,92,92.0,1.0599466202599714
S1,Dijkstra,21,True,0.014801798000007693,6451,6451,95,118,118.0,1.049714248976592
S1,Dijkstra,22,True,0.006007554000007076,3177,3177,115,51,51.0,1.1213886410425506
S1,Dijkstra,23,True,0.001754385999902297,969,969,48,42,42.0,1.1163890713233324
S1,Dijkstra,24,True,0.004541102000075625,2265,2265,69,64,64.0,1.0842258472906283
S1,Dijkstra,25,True,0.01401730600036899,5983,5983,104,88,88.0,1.0702637350361641
S1,Dijkstra,26,True,0.013423806999981025,6652,6652,107,116,116.0,1.0511074417063506
S1,Dijkstra,27,True,0.008167287000105716,4375,4375,101,73,73.0,1.0829486709312666
S1,Dijkstra,28,True,0.004829713000162883,2197,2197,96,49,49.0,1.11757431241208
S1,Dijkstra,29,True,0.012834924000344472,6586,6586,96,121,121.0,1.0484127879017944
S1,A*,1,True,0.0017203399997924862,742,742,79,85,85.0,1.0408621977008705
S1,A*,2,True,0.0002422510001451883,93,93,70,65,65.0,1.0100463719750192
S1,A*,3,True,0.0003826419997494668,145,145,88,66,66.0,1.021169068552049
S1,A*,4,True,0.001254516000244621,590,590,74,71,71.0,1.0480545741923257
S1,A*,5,True,0.00026070600006278255,112,112,68,66,66.0,1.0145075276705926
S1,A*,6,True,0.0025764629999684985,1147,1147,184,105,105.0,1.0359425451192412
S1,A*,7,True,0.0022426840000662196,1042,1042,133,107,107.0,1.033793875124125
S1,A*,8,True,0.0026904440001089824,1271,1271,87,111,111.0,1.0345559383696656
S1,A*,9,True,0.002541503999964334,1091,1091,129,91,91.0,1.0429400625301257
S1,A*,10,True,0.0004497740001170314,184,184,91,67,67.0,1.0262800468541982
S1,A*,11,True,0.001024127999698976,479,479,82,62,62.0,1.0534635422969711
S1,A*,12,True,8.704900028533302e-05,25,25,21,19,19.0,1.0228539826409042
S1,A*,13,True,0.002438385000004928,1099,1099,110,123,123.0,1.028397759346766
S1,A*,14,True,0.00033821599981820327,159,159,28,37,37.0,1.0666000985146602
S1,A*,15,True,0.0001579469999342109,56,56,45,37,37.0,1.0198997140999668
S1,A*,16,True,0.0007816780002940504,349,349,81,59,59.0,1.049676630103502
S1,A*,17,True,0.0013626350000777165,587,587,95,95,95.0,1.0313820088767192
S1,A*,18,True,0.0022358100000019476,963,963,150,105,105.0,1.0336568360518315
S1,A*,19,True,0.00040648899994266685,175,175,49,37,37.0,1.0705803370559108
S1,A*,20,True,0.001975103999939165,817,817,148,92,92.0,1.0379791619832806
S1,A*,21,True,0.003288926000095671,1464,1464,172,118,118.0,1.0334035753349045
S1,A*,22,True,0.0005256509998616821,246,246,54,51,51.0,1.051621032616327
S1,A*,23,True,0.00048137400017367327,186,186,47,42,42.0,1.0597063853288424
S1,A*,24,True,0.0007939309998619137,281,281,59,64,64.0,1.0388633815123267
S1,A*,25,True,0.000459641999896121,169,169,98,88,88.0,1.0133571387568083
S1,A*,26,True,0.0029656480000994634,1259,1259,127,116,116.0,1.0324241703397368
S1,A*,27,True,0.0016866460000528605,516,516,105,73,73.0,1.0435765852416594
S1,A*,28,True,0.0009145059998445504,345,345,56,49,49.0,1.065157096916022
S1,A*,29,True,0.0017277950000789133,640,640,147,121,121.0,1.0227538898519555
